,date,txn_count
1275,2015-10-08,127799
1276,2015-10-09,149816
1277,2015-10-10,160949
1278,2015-10-11,164575
1279,2015-10-12,136821
1280,2015-10-13,124142
1281,2015-10-14,120268
1282,2015-10-15,138933
1283,2015-10-16,158881
1284,2015-10-17,167207
1285,2015-10-18,171279
1286,2015-10-19,140556
1287,2015-10-20,131174
1288,2015-10-21,125376
1289,2015-10-22,130639
1290,2015-10-23,155486
1291,2015-10-24,169825
1292,2015-10-25,175620
1293,2015-10-26,147297
1294,2015-10-27,136738
1295,2015-10-28,137509
1296,2015-10-29,145429
1297,2015-10-30,188796
1298,2015-10-31,201388
1299,2015-11-01,210140
1300,2015-11-02,182196
1301,2015-11-03,148024
1302,2015-11-04,137860
1303,2015-11-05,139563
1304,2015-11-06,164371
1305,2015-11-07,179048
1306,2015-11-08,182296
1307,2015-11-09,149177
1308,2015-11-10,134970
1309,2015-11-11,136490
1310,2015-11-12,139468
1311,2015-11-13,172763
1312,2015-11-14,184132
1313,2015-11-15,191268
1314,2015-11-16,156271
1315,2015-11-17,139467
1316,2015-11-18,136695
1317,2015-11-19,142958
1318,2015-11-20,173940
1319,2015-11-21,186130
1320,2015-11-22,183517
1321,2015-11-23,146463
1322,2015-11-24,136541
1323,2015-11-25,127083
1324,2015-11-26,92842
1325,2015-11-27,89824
1326,2015-11-28,132108
1327,2015-11-29,145948
1328,2015-11-30,173139
1329,2015-12-01,179390
1330,2015-12-02,158743
1331,2015-12-03,153997
1332,2015-12-04,177481
1333,2015-12-05,196343
1334,2015-12-06,198572
1335,2015-12-07,164126
1336,2015-12-08,151142
1337,2015-12-09,145296
1338,2015-12-10,147883
1339,2015-12-11,170401
1340,2015-12-12,182939
1341,2015-12-13,185605
1342,2015-12-14,154009
1343,2015-12-15,159693
1344,2015-12-16,149556
1345,2015-12-17,152139
1346,2015-12-18,167152
1347,2015-12-19,164268
1348,2015-12-20,153939
1349,2015-12-21,140663
1350,2015-12-22,138344
1351,2015-12-23,131748
1352,2015-12-24,114496
1353,2015-12-25,57465
1354,2015-12-26,75792
1355,2015-12-27,110395
1356,2015-12-28,129201
1357,2015-12-29,149598
1358,2015-12-30,148318
1359,2015-12-31,181534
1360,2016-01-01,184650
1361,2016-01-02,168552
1362,2016-01-03,169410
1363,2016-01-04,169358
1364,2016-01-05,150231
1365,2016-01-06,142371
1366,2016-01-07,141890
1367,2016-01-08,168862
1368,2016-01-09,186888
1369,2016-01-10,197750
1370,2016-01-11,166252
1371,2016-01-12,165416
1372,2016-01-13,161026
1373,2016-01-14,149472
1374,2016-01-15,182632
1375,2016-01-16,205566
1376,2016-01-17,219707
1377,2016-01-18,195981
1378,2016-01-19,165835
1379,2016-01-20,155079
1380,2016-01-21,155911
1381,2016-01-22,191649
1382,2016-01-23,205988
1383,2016-01-24,217232
1384,2016-01-25,186860
1385,2016-01-26,159489
1386,2016-01-27,156879
1387,2016-01-28,165665
1388,2016-01-29,218539
1389,2016-01-30,241180
1390,2016-01-31,247092
1391,2016-02-01,216494
